# act_guide_1.csv 와 동일: id=지역ID, area_name=지역명
# 구분자 | 권장 — sub_quest/reward에 쉼표(,) 자유
id|area_name|title|sub_quest|reward|order
g3_1|모래에 휩쓸린 습지|[추천] 오로크 모닥불|출구 근처에 캠프 있음|하위 쥬얼러 오브|0
g3_1|모래에 휩쓸린 습지|뿌리준설자|뿌리준설자 처치|9레벨 스킬젬|1
g3_1|모래에 휩쓸린 습지|[선택] 매달린 나무|나무 주변 시신 찾기|마법 등급 반지 1개|2
g3_1|모래에 휩쓸린 습지|리그 콘텐츠|통제 / 축적 / 곡예 / 사냥|4개 중 택 1|3
g3_2_1|들끓는 불모지|리그 콘텐츠|리그 콘텐츠|엑잘티드 오브|0
g3_2_1|들끓는 불모지|곤경에 처한 야영지|야영지에서 NPC에게 길을 물어보세요|지도에 다른 지역 입구 표시|1

g3_2_2|마틀란 수로|리그 콘텐츠|리그 콘텐츠|10레벨 정신력 젬|0
g3_2_2|마틀란 수로|희귀 등급 허리띠|유린당한 시신을 찾으세요|희귀 등급 허리띠|1

g3_3|밀림 유적|은빛주먹|맵 중앙 근처 은빛주먹 처치하기|패시브 포인트 2개|0
g3_3|밀림 유적|리그 콘텐츠|숙련공의 오브 / 스탯 룬 3종 중 택 1|3레벨 보조 젬|1

g3_4|독액 지하실|리그 콘텐츠|수호하는 룬 5종 중 택 1|9레벨 스킬 젬|0

g3_5|키메랄 습지대|전직 장소 찾기|전직을 위해 혼돈의 사원 찾아서 거점 활성화하기|전직 가능|0
g3_5|키메랄 습지대|맹독성 꽃 처치|퀘스트 생략하는 것을 추천|-|1
g3_5|키메랄 습지대|리그 콘텐츠|연금술의 오브 외 합금 4종|보상 5개 중 택 1|2

g3_6_1|지콰니의 기계실|잔류하는 검은턱|검은턱을 찾아 처치하세요|화염저항 +10%|0
g3_6_1|지콰니의 기계실|리그 콘텐츠|추천: 상위 철 / 폭풍 룬|숙련공의 오브|1
g3_6_2|지콰니의 지성소|리그 콘텐츠|방어구 장인의 고철 / 룬 5종|보상 택 1|0

g3_7|아자크 습지대|리그 콘텐츠|방어구 장인의 고철 / 룬 5 종|보상 택 1|0
g3_8|물에 잠긴 도시|리그 콘텐츠|숙련공의 오브 / 왕성/투지/숙달 룬|메드베드의 문양|0
g3_8|물에 잠긴 도시|길찾기 팁|만약 오물의 정점 먼저 발견하면 입장해서 거점 활성화하고 되돌아오세요|없음|1

g3_9|녹아내린 금고실|리그 콘텐츠|리그 콘텐츠|고유 아이템, 리그 화폐|0
g3_11|오물의 장점|리그 콘텐츠|추천: 연금술의 오브|보상 5개 중 택 1|0
g3_12|코펙의 사원|리그 콘텐츠|리그 콘텐츠|11레벨 정신력 젬|0
g3_12|코펙의 사원|길찾기 팁|피라미드 외곽 3곳 중한 곳에 있는 계단 찾으면서 이동|없음|1
g3_14|웃자알|리그 콘텐츠|리그 콘텐츠|랜덤 주얼 또는 잃어버린 주얼|0
g3_14|웃자알|희생의 심장|바알 골리앗 잡아서 희생의 심장 획득하기|없음|1
g3_16|아고라트|희생의 단검|희생의 단검 클릭해서 제단에 심장 놓기|패시브 포인트 2개|0
g3_16|아고라트|희생의 심장|바알 골리앗 잡아서 희생의 심장 획득하기|없음|1
g3_16|아고라트|리그 콘텐츠|리그 콘텐츠|11레벨 스킬젬|2
g3_17|검은 내실|리그 콘텐츠|추천: 상위 철 / 폭풍 룬|상위 룬 택 1|0

g4_2_1|닻의 만|리그 콘텐츠|대장장이의 숫돌/식비학자의 식각기/방어구 장인의 고철 각 x4|4레벨 보조 젬|0
g4_2_1|닻의 만|지도 조각|지도 조각 찾기|리그 콘텐츠 오픈|1
g4_2_2|여정의 끝|리그 콘텐츠|리그 콘텐츠|연금술의 오브|0

g4_3_1|와카파누 섬|리그 콘텐츠|숙련공의 오브와 룬|보상 선택 1|0
g4_3_1|와카파누 섬|게딱지|게딱지 처치(해안가)|미가공 보조젬|1
g4_3_1|와카파누 섬|[필수]상어 지느러미|상어 처치하고 응가카누 카이마나 전달|필수 보상|2
g4_3_1|와카파누 섬|지도 조각|찢어진 지도조각 회수|리그 콘텐츠 오픈|3
g4_3_2|노래하는 암굴|리그 콘텐츠|리그 콘텐츠|마법 호신부|0
g4_3_2|노래하는 암굴|진주 조개|진주 조개 주변 적 처치|모든 저항 목걸이|0

g4_5_1|버려진 감옥|리그 콘텐츠|추천: 상위 철 룬|룬 8종 중 택 1|0
g4_5_2|독방 감금실|리그 콘텐츠|카오스x2 또는 엑잘티드x3|택 1티|0

g4_1_1|혈족의 섬|[추천] 버려진 탐광|화석화된 퇴적물 찾기|하위 주얼러 오브|0
g4_1_1|혈족의 섬|[선택] 야수 우리|희귀 몬스터 처치|12레벨 스킬젬, 4레벨 보조젬|1
g4_1_1|혈족의 섬|[선택] 눈먼 짐승|눈먼 짐승 처치 (주로 11시 방향)|상급 룬|2
g4_1_1|혈족의 섬|지도 조각|지도 조각 찾기|리그 콘텐츠 오픈|3
g4_1_1|혈족의 섬|리그 콘텐츠|추천: 상위 철 룬|세공사의 프리즘|4

g4_1_2|화산 땅굴|리그 콘텐츠|수호하는 룬 / 마석학 유동체 중 택 1|택 1|0
g4_1_2|화산 땅굴|[선택] 마그마 쌍둥이|마그마 쌍둥이 처치|하위 주얼러|1

g4_7|때까치 섬|리그 콘텐츠|대장장이의 숫돌/식비학자의 식각기/방어구 장인의 고철 각 x4|택 1|0
g4_7|때까치 섬|지도 조각|해진 지도 조각 회수|리그 콘텐츠 오픈|1

g4_4_1|히네코라의 눈|[필수] 나발리의 휴식처|고요한 전당 찾고 나발리와 대화|최대 마나 +5%|0
g4_4_1|히네코라의 눈|리그 콘텐츠|추천: 세공사의 프리즘|카오스 오브|1
g4_4_2|죽음의 전당|리그 콘텐츠|마석학 유동체 / 적응형 합금 / 제왕의 오브x3|택 1|0

g4_8|아라스타스|저녁 종|마을 밖 금종 찾기|엑잘티드 오브 3개|0
g4_8|아라스타스|아침 종|마을 안에서 아침 종 찾기|제왕의 오브 3개|1
g4_8|아라스타스|리그 콘텐츠|팽창하는 합금 X1, 엑잘티드 오브 X3|택 1|3

g4_10|발굴터|리그 콘텐츠|추천: 엑잘티드 오브|택 1|0

g4_11_1|응가카누|리그 콘텐츠|고유 아이템 ⭐| 상위 주얼러 오브|0
g4_11_2|부족의 심장부|리그 콘텐츠|제왕 / 세공사 / 정신력 젬|택 1|0

p3_1|잿빛 수림|리그 콘텐츠|추천: 상위 쥬얼러|택 1|0
p3_2|크리아 마을|리그 콘텐츠|신규 룬 7종|택 1|0
p3_3|빙하 호수|리그 콘텐츠|기량 / 대적 / 일관성 / 분광기 룬|택 1|0
p3_4|울부짖는 동굴|리그 콘텐츠|룬 합금 / 제왕 / 엑잘티드 오브|택 1|0
p3_5|크리아 봉우리|리그 콘텐츠|숙련공의 오브 / 스탯 룬 3종|택 1|0
p3_6|아로새겨진 심곡|리그 콘텐츠|상위 영감 / 정신 / 부활 룬|택 1|0
p3_7|쿠아식 금고실|리그 콘텐츠|방어구 장인의 고찰 / 상위 숙달 빙하 룬|택 1|0

p2_1|카리 교차로|녹아내린 성소|12시 방향 해골아귀 계단 들어가서 녹아내린 신의 선물 획득|최대 생명력 5+%|0
p2_1|카리 교차로|리그 콘텐츠|리그 콘텐츠|세공사의 오브|1
p2_2|카탈의 웅덩이|리그 콘텐츠|리그 콘텐츠|연금술의 오브|0
p2_3|셀 카리 성역|두 개의 소원|잔몹 처치하고 윤의 바리야, 란긴의 바리야 2개 획득하기|목걸이/반지/주얼 중 택1|0
p2_3|셀 카리 성역|리그 콘텐츠|추천: 5레벨 보조 젬|택 1|1
p2_5|갈라이 문|리그 콘텐츠|숙련련공의 오브 / 상위 스탯 룬|택 1|0
p2_6|키마|아켈리의 기둥|일곱개의 버프 중 1개 선택하기|영구 버프 1개 획득|0
p2_6|키마|리그 콘텐츠|고대 룬 5종 / 숙련공 / 수호 / 정신 룬|택 1|1
p2_7|키마 저수지|성스러운 우물|신성한 물이 든 병 회득 후 우물 클릭|랜덤 화폐|0
p2_7|키마 저수지|리그 콘텐츠|베리시움 스킬 / 보조 젬|택 1|1

p1_1|그을린 농지|검은 숲 입구|7시 방향 이동해서 어둠을 통과하는 길 찾기|검은 숲 입구 발견|0
p1_1|그을린 농지|이졸데와 헬드라|이졸데와 헬드라 처치 (주로 검은 숲 입구에서 7시 방향으로 이동)|패시브 포인트 2개|1
p1_1|그을린 농지|리그 콘텐츠|리그 콘텐츠|4레벨 보조젬|2
p1_2|세를의 두름돌|리그 콘텐츠|추천: 상위 철 룬|택 1|0
p1_3|검은 숲|리그 콘텐츠|리그 콘텐츠|상위 진화의 오브|0
p1_4|홀튼|리그 콘텐츠⭐|엑잘티드 오브(랜덤)|고유 근접 무기(랜덤)|0
p1_4|홀튼|시그버트와 고드윈|12시 방향 성당에서 시그버트와 고드윈 처치|희귀 아이템|1
p1_5|울븐홀드|리그 콘텐츠|대장장이의 숫돌/식비학자의 식각기/방어구 장인의 고철 각 x4|택 1|0
p1_6|홀튼 영지|리그 콘텐츠|리그 콘텐츠|숙련공의 오브|0
